Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM),Type,Fusion Strategy
$L_2$,$One$,0.1,0.667,0.091,0.094,0.622,0.051,0.413,0.061,0.076,0.195,0.048,350,0.16,0.16999999999999998,Non-dominated FMap,-
$L_2$,$One$,0.01,0.647,0.147,0.223,0.455,0.148,0.403,0.061,0.129,0.146,0.115,633,0.179,0.352,Non-dominated FMap,-
$L_2$,$One$,0.005,0.631,0.149,0.243,0.37,0.181,0.397,0.062,0.139,0.131,0.148,723,0.178,0.382,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.3,0.594,0.091,0.11,0.81,0.059,0.39,0.045,0.069,0.254,0.04,196,0.119,0.179,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.01,0.556,0.217,0.317,0.463,0.241,0.369,0.057,0.158,0.169,0.149,515,0.159,0.475,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.005,0.531,0.217,0.328,0.391,0.282,0.359,0.056,0.163,0.146,0.183,595,0.158,0.491,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.01,0.619,0.154,0.267,0.47,0.186,0.389,0.048,0.144,0.162,0.129,569,0.167,0.41100000000000003,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.005,0.611,0.195,0.284,0.399,0.221,0.381,0.048,0.15,0.143,0.157,679,0.166,0.43399999999999994,Non-dominated FMap,-
$L^{SDR}_2$,$KMeans^{10}$,0.05,0.509,0.23,0.327,0.588,0.226,0.341,0.065,0.165,0.215,0.134,228,0.121,0.492,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans$,0.05,0.501,0.232,0.359,0.574,0.261,0.337,0.066,0.169,0.216,0.14,198,0.107,0.528,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans$,0.01,0.445,0.282,0.373,0.403,0.347,0.309,0.071,0.18,0.159,0.209,252,0.108,0.5529999999999999,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.05,0.498,0.237,0.366,0.57,0.27,0.332,0.065,0.172,0.213,0.144,183,0.104,0.538,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.01,0.443,0.287,0.377,0.401,0.355,0.302,0.07,0.179,0.156,0.212,244,0.107,0.556,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.1,0.667,0.135,0.229,0.23,0.229,0.413,0.069,0.109,0.093,0.132,350,0.16,0.338,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.01,0.647,0.148,0.263,0.237,0.294,0.403,0.054,0.125,0.095,0.185,633,0.179,0.388,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.005,0.631,0.173,0.265,0.227,0.319,0.397,0.063,0.129,0.093,0.213,723,0.178,0.394,Non-dominated FMap,-
$L^{EUL}_2$,$KMeans$,0.005,0.562,0.207,0.276,0.227,0.352,0.358,0.039,0.133,0.093,0.238,625,0.18,0.40900000000000003,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.1,0.665,0.138,0.235,0.235,0.235,0.411,0.069,0.111,0.095,0.135,349,0.164,0.346,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.05,0.66,0.139,0.243,0.237,0.249,0.41,0.07,0.122,0.101,0.155,430,0.166,0.365,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.01,0.637,0.17,0.267,0.239,0.303,0.396,0.033,0.129,0.097,0.194,613,0.181,0.396,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.005,0.62,0.179,0.273,0.231,0.334,0.389,0.041,0.132,0.094,0.223,695,0.177,0.405,Non-dominated FMap,-
$Cosine^{EUL}$,$KMeans$,0.005,0.562,0.207,0.276,0.227,0.352,0.357,0.038,0.134,0.093,0.24,622,0.178,0.41000000000000003,Non-dominated FMap,-
$L^{EUL}_1$,$HDBSCAN$,0.005,0.586,0.202,0.274,0.224,0.354,0.369,0.039,0.133,0.092,0.236,610,0.172,0.40700000000000003,Non-dominated FMap,-
$L^{EUL}_1$,$KMeans$,0.005,0.556,0.207,0.277,0.226,0.357,0.355,0.043,0.135,0.093,0.244,599,0.18,0.41200000000000003,Non-dominated FMap,-
$L^{EUL}_2$,$KMeans^{10}$,0.01,0.517,0.211,0.278,0.234,0.341,0.332,0.038,0.135,0.096,0.226,454,0.173,0.41300000000000003,Non-dominated FMap,-
$L^{EUL}_2$,$KMeans^{10}$,0.005,0.494,0.216,0.281,0.223,0.38,0.322,0.041,0.134,0.09,0.261,490,0.175,0.41500000000000004,Non-dominated FMap,-
ODIN,-,0.01,0.712,0.262,0.355,0.363,0.348,0.449,0.075,0.173,0.144,0.218,177,0.101,0.528,Non-dominated logit (MSP),-
MSP,-,0.005,0.714,0.265,0.346,0.311,0.392,0.45,0.127,0.164,0.121,0.252,207,0.101,0.51,Non-dominated logit (MSP),-
MSP-$L^{SDR}_1$,$One$,0.005,0.759,0.183,0.264,0.374,0.204,0.502,0.112,0.152,0.155,0.149,696,0.154,0.41600000000000004,Non-dominated fusion logit-FMap,and
MSP-$L^{SDR}_1$,$One$,0.001,0.761,0.192,0.26,0.23,0.298,0.503,0.123,0.142,0.102,0.232,949,0.126,0.402,Non-dominated fusion logit-FMap,and
MSP-ODIN,-,0.01,0.723,0.258,0.348,0.361,0.336,0.461,0.081,0.171,0.145,0.208,208,0.107,0.519,Non-dominated fusion logit-logit,score
MSP-ODIN,-,0.01,0.684,0.276,0.37,0.371,0.369,0.441,0.097,0.174,0.143,0.224,148,0.091,0.544,Non-dominated fusion logit-logit,or
MSP-$L_1$,$One$,0.001,0.767,0.185,0.244,0.215,0.281,0.508,0.118,0.125,0.088,0.216,998,0.143,0.369,Non-dominated fusion logit-FMap,and
MSP-ODIN,-,0.01,0.732,0.253,0.341,0.359,0.324,0.467,0.081,0.171,0.147,0.204,224,0.109,0.512,Non-dominated fusion logit-logit,and
$L_1$-$Cosine^{SDR}$,one-HDBSCAN,0.01,0.432,0.289,0.377,0.396,0.361,0.275,0.07,0.179,0.149,0.222,214,0.113,0.556,Non-dominated fusion FMap-FMap',or
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.01,0.743,0.253,0.34,0.387,0.304,0.482,0.113,0.164,0.164,0.163,375,0.123,0.504,Non-dominated fusion logit-FMap,and
$Cosine$-$Cosine^{SDR}$,KMeans_10-$HDBSCAN$,0.05,0.474,0.235,0.369,0.552,0.277,0.308,0.065,0.176,0.2,0.158,144,0.096,0.5449999999999999,Non-dominated fusion FMap-FMap',or
MSP-$Cosine$,$HDBSCAN$,0.005,0.766,0.145,0.251,0.346,0.197,0.504,0.109,0.141,0.133,0.15,693,0.169,0.392,Non-dominated fusion logit-FMap,and
MSP-$Cosine$,$HDBSCAN$,0.001,0.762,0.214,0.247,0.205,0.312,0.506,0.121,0.124,0.084,0.242,876,0.146,0.371,Non-dominated fusion logit-FMap,and
