Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM),Type,Fusion Strategy
$Cosine^{SDR}$,$KMeans$,0.01,0.454,0.301,0.412,0.589,0.317,0.316,0.044,0.203,0.222,0.188,205,0.11,0.615,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.1,0.523,0.248,0.325,0.814,0.203,0.341,0.024,0.131,0.254,0.088,137,0.09,0.456,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.05,0.503,0.248,0.362,0.742,0.24,0.327,0.045,0.151,0.24,0.11,164,0.103,0.513,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.01,0.45,0.305,0.419,0.586,0.326,0.312,0.043,0.204,0.219,0.192,198,0.112,0.623,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.005,0.431,0.305,0.424,0.503,0.366,0.296,0.061,0.206,0.195,0.219,211,0.109,0.63,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.1,0.603,0.091,0.089,0.765,0.047,0.403,0.023,0.063,0.188,0.038,254,0.143,0.152,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.01,0.574,0.147,0.192,0.566,0.116,0.4,0.037,0.132,0.195,0.1,433,0.163,0.324,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.005,0.551,0.153,0.231,0.502,0.15,0.395,0.038,0.148,0.186,0.123,478,0.157,0.379,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.001,0.502,0.206,0.289,0.361,0.241,0.348,0.036,0.162,0.139,0.192,589,0.132,0.45099999999999996,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.01,0.544,0.16,0.238,0.584,0.15,0.384,0.043,0.154,0.217,0.12,385,0.15,0.392,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.005,0.526,0.163,0.277,0.502,0.191,0.379,0.043,0.164,0.195,0.141,433,0.153,0.44100000000000006,Non-dominated FMap,-
$L^{SDR}_2$,$HDBSCAN$,0.005,0.498,0.213,0.301,0.492,0.217,0.339,0.041,0.166,0.186,0.15,409,0.154,0.46699999999999997,Non-dominated FMap,-
$L^{EUL}_2$,$KMeans$,0.005,0.555,0.137,0.229,0.209,0.253,0.382,0.027,0.12,0.092,0.172,490,0.171,0.349,Non-dominated FMap,-
$L^{EUL}_1$,$HDBSCAN$,0.005,0.542,0.146,0.234,0.209,0.265,0.375,0.028,0.123,0.094,0.179,458,0.164,0.357,Non-dominated FMap,-
$L^{EUL}_1$,$KMeans^{10}$,0.005,0.476,0.149,0.253,0.221,0.296,0.322,0.036,0.136,0.1,0.211,392,0.158,0.389,Non-dominated FMap,-
$Cosine^{EUL}$,$One$,0.05,0.66,0.109,0.186,0.189,0.182,0.417,0.037,0.087,0.075,0.103,356,0.159,0.273,Non-dominated FMap,-
$Cosine^{EUL}$,$One$,0.01,0.62,0.129,0.206,0.201,0.212,0.41,0.03,0.101,0.082,0.13,521,0.174,0.307,Non-dominated FMap,-
$Cosine^{EUL}$,$One$,0.005,0.604,0.131,0.216,0.203,0.231,0.408,0.026,0.109,0.086,0.148,574,0.176,0.325,Non-dominated FMap,-
$L^{EUL}_2$,$KMeans^{10}$,0.005,0.488,0.154,0.259,0.228,0.3,0.319,0.036,0.133,0.099,0.204,413,0.166,0.392,Non-dominated FMap,-
$L^{EUL}_2$,$KMeans^{10}$,0.001,0.417,0.207,0.271,0.209,0.384,0.269,0.036,0.132,0.087,0.274,458,0.148,0.403,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.15,0.652,0.11,0.178,0.184,0.173,0.423,0.03,0.085,0.075,0.098,250,0.139,0.263,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.1,0.654,0.108,0.181,0.186,0.176,0.421,0.027,0.088,0.077,0.103,277,0.15,0.269,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.05,0.641,0.109,0.187,0.19,0.184,0.414,0.024,0.093,0.08,0.111,341,0.159,0.28,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.005,0.588,0.134,0.225,0.208,0.244,0.402,0.025,0.117,0.091,0.164,527,0.172,0.342,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.001,0.538,0.162,0.249,0.204,0.32,0.354,0.035,0.126,0.087,0.226,624,0.148,0.375,Non-dominated FMap,-
$Cosine^{EUL}$,$KMeans$,0.005,0.557,0.139,0.23,0.21,0.254,0.378,0.027,0.12,0.092,0.173,490,0.171,0.35,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.05,0.66,0.109,0.186,0.19,0.183,0.417,0.037,0.087,0.075,0.103,356,0.159,0.273,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.005,0.604,0.131,0.216,0.203,0.231,0.408,0.026,0.109,0.086,0.148,574,0.176,0.325,Non-dominated FMap,-
MSP,-,0.005,0.714,0.304,0.429,0.49,0.382,0.452,0.08,0.217,0.204,0.232,160,0.086,0.646,Non-dominated logit (MSP),-
MSP,-,0.001,0.718,0.346,0.382,0.318,0.48,0.453,0.093,0.179,0.125,0.312,169,0.082,0.5609999999999999,Non-dominated logit (MSP),-
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.01,0.738,0.24,0.385,0.596,0.285,0.479,0.066,0.198,0.273,0.155,288,0.117,0.583,Non-dominated fusion logit-FMap,and
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.005,0.743,0.288,0.389,0.504,0.317,0.474,0.064,0.198,0.227,0.176,323,0.116,0.587,Non-dominated fusion logit-FMap,and
MSP-ODIN,-,0.01,0.684,0.306,0.433,0.551,0.356,0.425,0.078,0.217,0.221,0.214,118,0.077,0.65,Non-dominated fusion logit-logit,or
MSP-ODIN,-,0.005,0.684,0.306,0.432,0.475,0.396,0.428,0.078,0.217,0.194,0.247,119,0.076,0.649,Non-dominated fusion logit-logit,or
MSP-$L^{SDR}_1$,$One$,0.005,0.767,0.207,0.319,0.384,0.273,0.5,0.077,0.172,0.172,0.171,565,0.131,0.491,Non-dominated fusion logit-FMap,and
MSP-$L^{SDR}_1$,$One$,0.001,0.771,0.244,0.289,0.239,0.366,0.502,0.091,0.154,0.111,0.253,774,0.112,0.44299999999999995,Non-dominated fusion logit-FMap,and
MSP-$L^{SDR}_1$,$One$,0.001,0.762,0.198,0.277,0.354,0.228,0.503,0.056,0.161,0.154,0.17,642,0.126,0.43800000000000006,Non-dominated fusion logit-FMap,and
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.01,0.437,0.311,0.447,0.562,0.371,0.295,0.063,0.217,0.204,0.232,74,0.058,0.664,Non-dominated fusion logit-FMap,or
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.005,0.41,0.361,0.449,0.487,0.416,0.267,0.062,0.218,0.184,0.267,65,0.057,0.667,Non-dominated fusion logit-FMap,or
MSP-$L_1$,$One$,0.001,0.778,0.217,0.26,0.213,0.335,0.506,0.125,0.137,0.097,0.235,830,0.123,0.397,Non-dominated fusion logit-FMap,and
MSP-ODIN,-,0.005,0.725,0.303,0.421,0.483,0.374,0.457,0.085,0.216,0.204,0.229,167,0.088,0.637,Non-dominated fusion logit-logit,score
MSP-$L^{SDR}_1$,$One$,0.005,0.507,0.307,0.437,0.487,0.396,0.336,0.064,0.216,0.186,0.257,92,0.07,0.653,Non-dominated fusion logit-FMap,or
MSP-ODIN,-,0.005,0.735,0.301,0.417,0.485,0.366,0.468,0.088,0.216,0.208,0.225,181,0.089,0.633,Non-dominated fusion logit-logit,and
MSP-ODIN,-,0.005,0.725,0.303,0.421,0.483,0.374,0.457,0.085,0.216,0.204,0.229,167,0.088,0.637,Non-dominated fusion logit-logit,score
